"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Unidade da Federação";"Produto das lavouras temporárias e permanentes";"Ano";"Variável";""
"Ceará";"Tangerina";"2018";"Valor da produção (Mil Reais)";"2550"
"Ceará";"Tangerina";"2019";"Valor da produção (Mil Reais)";"3227"
"Ceará";"Tangerina";"2020";"Valor da produção (Mil Reais)";"3221"
"Ceará";"Tomate";"2016";"Valor da produção (Mil Reais)";"198834"
"Ceará";"Tomate";"2017";"Valor da produção (Mil Reais)";"247329"
"Ceará";"Tomate";"2018";"Valor da produção (Mil Reais)";"258748"
"Ceará";"Tomate";"2019";"Valor da produção (Mil Reais)";"407073"
"Ceará";"Tomate";"2020";"Valor da produção (Mil Reais)";"502827"
"Ceará";"Trigo (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
"Ceará";"Trigo (em grão)";"2017";"Valor da produção (Mil Reais)";"-"
"Ceará";"Trigo (em grão)";"2018";"Valor da produção (Mil Reais)";"-"
"Ceará";"Trigo (em grão)";"2019";"Valor da produção (Mil Reais)";"-"
"Ceará";"Trigo (em grão)";"2020";"Valor da produção (Mil Reais)";"28"
"Ceará";"Triticale (em grão)";"2016";"Valor da produção (Mil Reais)";"-"
