"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Município";"Produto das lavouras temporárias e permanentes";"Ano";"Variável";""
"Acopiara (CE)";"Pera";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pera";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pêssego";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pêssego";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pêssego";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pêssego";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pêssego";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pimenta-do-reino";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pimenta-do-reino";"2017";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pimenta-do-reino";"2018";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pimenta-do-reino";"2019";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Pimenta-do-reino";"2020";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Rami (fibra)";"2016";"Valor da produção (Mil Reais)";"-"
"Acopiara (CE)";"Rami (fibra)";"2017";"Valor da produção (Mil Reais)";"-"
